"name","id","date","prize","location"
"ESL ESEA Pro League Season 2 Finals","1986","Dec 10th - Dec 13th 2015","250.000","Los Angeles, California, United States"
"IEM Oakland 2016","2261","Nov 16th - Nov 20th 2016","300.000","Oakland, California, USA"
"ESL One New York 2017","2636","Sep 15th - Sep 17th 2017","250.000","New York, New York, USA"
"EMS One Katowice 2014","1333","Mar 13th - Mar 16th 2014","250.000","Katowice, Poland"
"ESL Pro League Season 6 Finals","3072","Dec 5th - Dec 10th 2017","750.000","Odense, Denmark"
"DreamHack Masters Malmö 2017","2684","Aug 30th - Sep 3rd 2017","250.000","Malmö, Sweden"
"ESL One New York 2016","2239","Sep 30th - Oct 2nd 2016","250.000","New York, New York, United States"
"ESL One Cologne 2018","3392","Jul 3rd - Jul 8th 2018","300.000","Cologne, Germany"
"StarSeries i-League Season 5","3666","May 28th - Jun 3rd 2018","300.000","Kiev, Ukraine"
"IEM Katowice 2017","2637","Mar 1st - Mar 5th 2017","250.000","Katowice, Poland"
"IEM Sydney 2018","3530","May 1st - May 6th 2018","250.000","Sydney, Australia"
"ELEAGUE CS:GO Premier 2017","3016","Sep 8th - Oct 13th 2017","1.000.000","Atlanta, Georgia, USA"
"SL i-League StarSeries Season 2 Finals","2325","Sep 7th - Sep 11th 2016","300.000","Kiev, Ukraine"
"StarSeries i-League Season 4","3486","Feb 17th - Feb 25th 2018","300.000","Kiev, Ukraine"
"SL i-League StarSeries Season 3 Finals","2683","Apr 4th - Apr 9th 2017","300.000","Kiev, Ukraine"
"ECS Season 4 Finals","3313","Dec 15th - Dec 17th 2017","660.000","Cancun, Mexico"
"ELEAGUE Major 2017","2471","Jan 22nd - Jan 29th 2017","1.000.000","Atlanta, Georgia, USA"
"DreamHack Masters Marseille 2018","3491","Apr 18th - Apr 22nd 2018","250.000","Marseille, France"
"DreamHack Winter 2012","1021","Nov 22nd - Nov 24th 2012","45.275","Jönköping, Sweden"
"DreamHack Masters Las Vegas 2017","2541","Feb 15th - Feb 19th 2017","450.000","Las Vegas, Nevada, USA"
"DreamHack Masters Malmö 2016","2099","Apr 12th - Apr 17th 2016","250.000","Malmö, Sweden"
